test;eff_weat;pval_weat;eff_own;own_bias_mean;own_std;mac;cluster
weat3;0.9308503628992798;0.01;0.931534459644972;0.0024624157465095724;0.0014290136397302135;4.3847107722539805e-06;
weat3b;0.5633957656555266;0.02;0.5670558154193598;0.003543506385744462;0.0009866466105533948;8.564280009938174e-06;
weat4;0.9459445255799039;0.01;0.9472160876520231;0.0024391429345486785;0.0014147532765362515;4.425323494849307e-06;
weat5;-0.971799708360932;1.0;-0.9729121784910497;0.0025678024136245895;0.0018735731153538679;5.5502697424004354e-06;
weat5b;-0.5610380626650372;1.0;-0.5636334614452623;0.004429969918464522;0.0009489658636228985;1.2330153517339586e-05;
weat6;-0.015225549557276724;0.51;-0.015263053710661252;0.0024288173654729082;0.0012012409924103973;5.0542998185485724e-06;
weat6b;-0.14773017650956088;0.75;-0.148205499954642;0.0011399862901465467;0.0010699372740178507;2.6638542728906307e-06;
weat7;0.4785721952557483;0.01;0.47063208005145224;0.0012009978169575126;0.0007204170892339068;1.6182184904882495e-06;
weat7b;0.44422990619290104;0.03;0.48596971085733154;0.0008259513605083824;0.0005654132787300372;3.99985318477889e-06;
weat8;0.4895557753535591;0.02;0.48896163507760926;0.000960534495801566;0.0008275699853708196;1.5360379702802195e-06;
weat8b;0.45136711380486016;0.03;0.46197775262677354;0.000967280057557913;0.0006286778102923233;3.825699787032763e-06;
angry_black_woman;1.1340996891608282;0.01;1.1357755175673805;0.0026070159867498596;0.0015525182686238542;5.859843626280777e-06;
angry_black_woman2;0.10176432188800759;0.31;0.10179993006721264;0.004119653925973499;0.0007855895286022774;1.1781673808939945e-05;
double_bind_competent;0.012815788757782618;0.46;0.012937372992098605;0.002264172604931552;0.0011731764121120768;5.75239523334455e-06;
double_bind_likable;0.013233798128790603;0.51;0.012824083786567072;0.0026668376795894204;0.0014446482329714021;7.505929265810088e-06;
