test;eff_weat;pval_weat;eff_own;own_bias_mean;own_std;mac;cluster
weat3;0.48311650907982734;0.01;0.48407169175323317;0.16804020238037914;0.15506622317602586;0.07054640913138752;
weat3b;-0.8210383744581788;1.0;-0.8318193711422204;0.1806375781684712;0.13790022563604432;0.09585091016105596;
weat4;0.557285215446055;0.01;0.5568104800366155;0.1593182936245992;0.15730997587894405;0.06817860647809389;
weat5;0.3977195830927508;0.01;0.3970598918286038;0.193259035454523;0.15255377405961068;0.07739185934541339;
weat5b;-0.8345205719911247;1.0;-0.837876512833787;0.22715832655610105;0.16718757700737055;0.09561228487778771;
weat6;-0.07189466861326795;0.63;-0.07896734453958269;0.23640256784239683;0.1327896538968498;0.11702717217778114;
weat6b;0.05836742799885027;0.41;0.04945290537450344;0.23464500795944976;0.1400614126896729;0.12007885549275334;
weat7;-0.46867746550233225;0.97;-0.32702222100268735;0.12676601194713366;0.05694198599485918;0.08232516709478903;
weat7b;-0.3310156106914571;0.95;-0.24325038757433703;0.16201203055660163;0.09877349422567841;0.07990285642723303;
weat8;0.1612384538784902;0.2;0.17789686691006087;0.09263521667427342;0.06090937917623497;0.06563418395950978;
weat8b;0.01212384153569932;0.49;0.020684922594546302;0.11497021262083251;0.07647809419529128;0.06755878627221691;
angry_black_woman;0.6833309522970756;0.01;0.6903624382109331;0.08700726784845886;0.09111425842619093;0.09562499149031049;
angry_black_woman2;-1.1389239337157546;1.0;-1.1093580357694444;0.09502860692430048;0.10861217033551226;0.11116238478029207;
double_bind_competent;-0.07968431387041691;0.69;-0.08154682107355256;0.21807413388316724;0.14759987222240362;0.11857239505739028;
double_bind_likable;0.009704887062287863;0.48;0.017385720550186255;0.10588532175706793;0.08733400034490345;0.09758869499684343;
